"site_id","survey_date","surveyor1","pit_tag_id","pit_tag_status","frog_sex","frog_state","frog_location","frog_utme","frog_utmn","total_weight","bag_weight","frog_weight","frog_svl","swab_id","swabber_name","frog_comments","swab_id_full"
14309,2014-06-17 00:00:00.000,Kauffman,"118001027495",Y,M,Healthy,inlet,747949,4303808,23.0,2.0,21.0,55.0,1820,Kauffman,,DESO1820
52646,2014-06-17 00:00:00.000,Kauffman,"118001027555",,F,Healthy,outlet,748108,4304182,22.0,2.0,20.0,55.0,1838,Kauffman,,DESO1838
14221,2014-06-17 00:00:00.000,Knapp,"118001027600",Y,F,Healthy,in lake,746373,4305465,19.0,2.0,17.0,53.0,1864,Knapp,,DESO1864
14309,2014-06-17 00:00:00.000,Kauffman,"118001027617",Y,F,Healthy,fringing habitat,747827,4303845,25.0,2.0,23.0,60.0,1831,Kauffman,,DESO1831
14309,2014-06-17 00:00:00.000,Kauffman,"118001027756",Y,M,Healthy,inlet,747909,4303794,21.0,2.0,19.0,54.0,1829,Kauffman,,DESO1829
14309,2014-06-17 00:00:00.000,Kauffman,"118001027859",Y,M,Healthy,outlet,748212,4303520,11.0,2.0,9.0,41.0,1746,Kauffman,,DESO1746
14309,2014-06-17 00:00:00.000,Kauffman,"118001028646",,F,Healthy,fringing habitat,748258,4303511,15.0,2.0,13.0,48.0,1744,Kauffman,,DESO1744
14221,2014-06-17 00:00:00.000,Knapp,"118001028722",,F,Healthy,in lake,746373,4305465,15.0,2.0,13.0,52.0,1853,Knapp,,DESO1853
14309,2014-06-17 00:00:00.000,Kauffman,"118001028743",,M,Healthy,inlet,747949,4303808,20.0,2.0,18.0,52.0,1821,Kauffman,,DESO1821
14309,2014-06-17 00:00:00.000,Kauffman,"118001028753",Y,F,Healthy,in lake,748012,4303774,24.0,2.0,22.0,55.0,1753,Kauffman,,DESO1753
14221,2014-06-17 00:00:00.000,Knapp,"118001028793",Y,F,Healthy,in lake,746373,4305465,23.0,2.0,21.0,58.0,1884,Vredenburg,,DESO1884
14221,2014-06-17 00:00:00.000,Knapp,"118001028824",Y,F,Healthy,in lake,746373,4305465,21.0,2.0,19.0,56.0,1866,Vredenburg,,DESO1866
14221,2014-06-17 00:00:00.000,Knapp,"118001028917",,F,Healthy,in lake,746373,4305465,17.0,2.0,15.0,51.0,1873,Vredenburg,,DESO1873
14309,2014-06-17 00:00:00.000,Kauffman,"118001028941",Y,M,Healthy,inlet,747949,4303808,12.0,2.0,10.0,42.0,1825,Kauffman,,DESO1825
14221,2014-06-17 00:00:00.000,Knapp,"118001028944",,F,Healthy,in lake,746373,4305465,18.0,2.0,16.0,55.0,1859,Vredenburg,,DESO1859
14221,2014-06-17 00:00:00.000,Knapp,"118001028968",,M,Dead,in lake,746373,4305465,,,,,,,Freshly dead.,
14221,2014-06-17 00:00:00.000,Knapp,"118001029079",,F,Healthy,in lake,746396,4305496,17.0,2.0,15.0,55.0,1877,Knapp,,DESO1877
14221,2014-06-17 00:00:00.000,Knapp,"118001029091",Y,F,Healthy,in lake,746396,4305496,22.0,2.0,20.0,61.0,1869,Knapp,Skinny,DESO1869
14221,2014-06-17 00:00:00.000,Knapp,"118001029141",,M,Healthy,in lake,746405,4305458,14.0,2.0,12.0,46.0,1887,Knapp,,DESO1887
